WORD,ROOT
حرضهم,حرض
ترخصين,رخص
ولتسطرنه,سطر
وبكونتيته,
فلإضمارها,ضمر
لشختوركما,شختر
طاويينا,طوى
سالباتكن,سلب
سيشجرنها,شجر
لرجوتننا,رجو
كعرشك,عرش
ويحضرنكم,حضر
فأستوفهما,وفى
ولترشحنهم,رشح
كمحلوليكما,حل
لتشارطيني,شرط
فبمتراخيتهم,رخى
فكالغيابية,غيب
وشتيتما,شتو
دورات,دور
ولمصقعيهما,صقع
ونحلنهن,نحل
فالفارهة,فره
وسيتحامونكما,حمى
فكورقيته,ورق
فمتعلموكما,علم
وبمنتقلتهما,نقل
كنيسكم,كنس
وأقتبلكن,قبل
وسألتقيهم,لقى
يفلقانها,فلق
يكلبهم,كلب
فالحازمتين,حزم
فلسجلي,سجل
وستنهكها,نهك
فسيلغيكما,لغو
فمزوقتان,زوق
وليستغفلونا,غفل
فلتوهوها,وهى
وأحكمته,حكم
وكظرفييكن,ظرف
فكرائبنا,روب
وبترسيمكن,رسم
فتدخلاهن,دخل
ولجدائلي,جدل
واحتملاني,حمل
لتسكتنهما,سكت
كحسراتهن,حسر
فبناووسهم,نوس
وطوقتهما,طوق
ليمنحوها,منح
كمزورتهم,زور
وسيوقعنه,وقع
فلتزجرهم,زجر
لخاذلكم,خذل
فبتراويحها,روح
فلباسمتين,بسم
ولمشطتكم,شط
وبمزعجتهما,زعج
فكقت,قت
وجردنهم,جرد
ومولوياك,ولى
فستبكتها,بكت
فلتغول,غول
أسرعاهن,سرع
بقزحيكما,قزح
وبتباشيرهما,بشر
فقطائعهما,قطع
وبشقاقهما,شق
ماطها,ميط
ومخطتن,مخط
صفيقاهن,صفق
ولتزورنهن,زور
فستناصفانه,نصف
وكمقامرتيكما,قمر
ستعشقانهم,عشق
فحاملاتهم,حمل
وبراجماتكما,رجم
لناظرة,نظر
ومطالبه,طلب
وبكافينا,
فلقيرهم,قير
لحزي,حز
فسيستوطنونه,وطن
فكمستجدي,جد
فسيقضمونكم,قضم
فلأخرأ,خرئ
لتغمسوه,غمس
فكإمداده,مد
ولتردين,ردى
كالمستقتلتين,قتل
بمنمقتيهن,نمق
ليلوموكن,لوم
وستتسيطرن,سيطر
كأنوارهما,نور
وحلفتكم,حلف
وليخادعوها,خدع
فكتقدمكن,قدم
وللمصوت,صوت
فلمستوركن,ستر
ولتقارناهن,قرن
فستسيرين,سير
وزعنفتيها,زعنف
لمسيكة,مسك
لجهمتاها,جهم
فبفادحين,فدح
تناصراهن,نصر
فكمزهن,مز
أوهتن,اوه
فلقذائف,قذف
فإملائيتاي,ملو
بقدرين,قدر
وببابك,بوب
للمتحرجات,حرج
بطلتمانا,بطل
فكزواياها,زوى
وجهلاها,جهل
ووكونك,وكن
بفولاذيكما,فولذ
ستشاتمونهم,شتم
لمزيليهما,زيل
كمشاركة,شرك
لطارحكن,طرح
ولاعتدادهن,عد
ولتنسماها,نسم
هيرانا,هير
فجردتموني,جرد
فكقصتي,قص
وعبوسه,عبس
فتفتتحانهم,فتح
والمحتومتين,حتم
وسيحجزنك,حجز
وسيخيفانها,خوف
والرهيفتين,رهف
فستهابينها,هيب
فكالخليط,خلط
وبلامعيكما,لمع
فبولادتكم,ولد
وسيلتامون,لوم
فسيسترخصهم,رخص
دجناهما,دجن
ليلعباه,لعب
لاكتتبتم,كتب
ببولييه,بول
قسموني,قسم
فلملتقطتهن,لقط
لدولابيكن,دول
لأدمرهن,دمر
فتجتنبن,جنب
وبفارقكم,فرق
وبتصبير,صبر
ولمعبودكما,عبد
فإجرامك,جرم
فلمثلجتك,ثلج
فكإمساكك,مسك
فسيغويانكما,غوى
وبالمروحية,روح
لتصطنع,صنع
سنسيخ,سيخ
وبقابضهم,قبض
وستتعادلون,عدل
وليبأروه,بأر
وحملاني,حمل
يتغن,غنى
بمنافذي,نفذ
فأضافتاهن,ضيف
لاستعرب,عرب
فبمستخدمتها,خدم
فللشحاذ,شحذ
كنامية,نمى
وللإسراع,سرع
فكتفوقها,فوق
لصليكم,صلى
ففلحتانا,فلح
فكمضخاته,ضخ
بلاجئات,لجأ
خرطوماهما,خرطم
لخطافتيكم,خطف
مظهرهما,ظهر
سأموتكما,موت
وكأسواقكن,سوق
ونسختماها,نسخ
وداعييها,دعو
فتذنبك,ذنب
فسينهيكما,نهو
فلأهاجيك,هجو
فبدآك,بدء
مستقتلتان,قتل
فلحكيمها,حكم
وسوداويتاهم,سود
أبدلتماهما,بدل
فتجتذبيننا,جذد
فكإرادي,رود
وبإفلاسهن,فلس
كزجاجهم,زج
فللكيديين,كيد
ستستيمن,يمن
ولدليلي,دل
وكواعدتك,وعد
فاستقصيتنني,قصو
لتجشآ,جشأ
فلخافيهم,خفى
فبفخوخهن,فخ
بوخزتكم,وخز
بمثبتاتنا,ثبت
فستبزونني,بز
فسيبردونه,برد
فتعزلاهن,عزل
بحصيفك,حصف
وكالخاتم,ختم
ولاحتماليهما,حمل
فيؤجلاني,اجل
وهلباكما,هلب
فكأديانكن,دين
ومساعدوكم,سعد
فلتذكرتي,ذكر
واستأنفنهن,انف
حرائقك,حرق
وكأكداس,كدس
فرسخين,
يسخنوني,سخن
فسيمنحنه,منح
أنسكب,سكب
فبالنطح,نطح
وسيماسحكن,مسح
كألجمتك,لجم
ولتزوجاك,زوج
ولصفحتكم,صفح
تبرطلاكما,برطل
فبغرامتي,غرم
لأنجحاكم,نجح
فوشراهن,وشر
وليعجمكما,عجم
بالمتماثلات,مثل
ستكسبانه,كسب
بجذعييكم,جذع
يشهرونكن,شهر
فمتماسكاتنا,مسك
فيستهلوا,هل
نمضيهم,مضى
لخضوعهما,خدع
كسكائرنا,سكر
فستدغدغكن,دغدغ
وقذفانا,قذف
لشريط,شرط
قرابه,قرب
ستجتازكما,جوز
لصعقناهن,صعق
فبرمانهما,
وبإغاثتي,غوث
فتشاربك,شرب
فبعربجييكن,
كالعنب,عنب
فالمتأزمتين,ازم
فأضنياهما,ضنى
فكعنتريتيكن,عنتر
فمفاهمتاكن,فهم
فسيخمدنهم,خمد
وزرايتها,زرى
لتوارثتاني,ورث
بطنابيركم,طنبر
ومثقفتاه,ثقف
ومحيرك,حير
فجانبتاكما,جنب
سيعمرانهن,عمر
وكنابلسيتينا,
فتحتكرانكن,حكر
فلماحيته,محو
تخذلوهما,خذل
ونستقضيهما,قضى
وكسنخ,سنخ
فلتنابذكما,نبذ
لمعرقلتيه,عرقل
فكحسرتي,حسر
أثمرتاهما,ثمر
وسيساومونهن,سوم
لتعليتهن,علو
وتتضخموا,ضخم
فلخدمي,خدم
تموههم,موه
ولتنغصوهما,نغص
لتندهشن,دهش
وكراعبتيهما,رعب
للبلبت,لبلب
فلوقرتكم,وقر
بمتنفذتنا,نفذ
فبمتحصلهم,حصل
شاخ,شيخ
فحاسراك,حسر
فخادعنهما,خدع
فكوصيفتينا,وصف
كأيوناتنا,اين
وبآباء,ابو
سيدمغانكم,دمق
وبشطتك,شط
رشراشكم,رشرش
لضخمتماها,ضخم
وخيامهن,خيم
لمفكرتهم,فكر
وكقحمهما,قحم
لتحدبيهما,حدب
ولغافيتيكن,غفو
ستعقرونهن,عقر
فتقرصينا,قرص
ويعدموه,عدم
فلتراوغينا,روغ
كالوبئ,وبئ
وكأشوههم,شوه
البائعة,بيع
ويتزعمك,زعم
والقاسيان,قسو
وكالسطح,سطح
ويزجروهما,زجر
فستنتحبن,نحب
وتستسمحينه,سمح
فشاحناتكم,شحن
وألزقنك,لزق
فبإزهاقهما,زهق
كمفكرتيهن,فكر
فبنبلكما,نبل
فسيسلعهن,سلع
فسنغفيك,غفو
وكمقياسه,قيس
بمناجيهما,نجو
لاختصامي,خصم
فلمواصلاتنا,وصل
فلتبلوروها,بلور
وعثرتاهن,عثر
فلأدهسكم,دهس
ولتسلعاكما,سلع
لزفرناكما,زفر
فبموقتيكن,وقت
سنقفركم,قفر
لأعيوكن,عي
تنازعيهما,نزع
فلنطتنا,نضو
وكمؤيدي,ايد
فلشموله,شمل
فكبصتنا,بص
وبإسماعيليتي,
فكودناه,كود
فجهيران,جهر
تردعك,ردع
وقرعتي,قرع
فهضمكما,هضم
ليوجلوكن,وجل
أنتهككما,نهك
يخادعانكن,خدع
وبقبالتنا,قبل
فمقامرهم,قمر
فكالمهديين,هدى
فلننفقهما,نفق
لنستخلصهن,خلص
يسايره,سير
كمترادفها,ردف
فأجنبية,جنب
وبرمدتينا,رمد
قراراهما,قر
لمحارباتكما,حرب
بمخبرتينا,خبر
وتصلفانه,صلف
فسأذيبكما,ذوب
بتقييماتها,قيم
قملتنا,قمل
رشاقتي,رشق
فلتختنقي,خنق
فهضمتنا,هضم
فتمجدا,مجد
لعقديتهن,عقد
ومأمورتاهن,امر
عرقونا,عرق
ليفتدياهم,فدى
فكتشخيصيتهما,شخص
فكتقدمتين,قدم
فليرابيعه,
كأنغام,نغم
وكبعديك,بعد
ليرذلنكما,رذل
فتسبقنه,سبق
فسألقاهما,لقى
فانتهكنهن,نهك
سأستتبعها,تبع
فمظفريها,ظفر
ويبيناك,بين
وتتبلن,تبل
فيعترين,عرو
أتثلجكما,ثلج
فعاينتماني,عين
ويشاكون,شوك
فترتيبيتهم,رتب
ومتريك,
لرعبتنهما,رعب
ومضلليك,ضل
ولفلولكما,فل
ليقبحنهم,قبح
ليكرمكما,كرم
وكمخمنهما,خمن
يجبناها,جبن
وكرتليهن,رتل
إحساساته,حس
وليضمحل,ضمحل
كحاصدة,حصد
بحليقيهن,حلق
لحوفه,حوف
سنهيئه,هيأ
وعازمين,عزم
فلتوصيفات,وصف
ببلقانيهما,
كإيجاريهم,اجر
فليجموك,جم
لفحنك,لفح
ويخبلونها,خبل
فكمصدقها,صدق
فلتفحصاني,فحص
ومفتقري,فقر
لاستمراركن,مر
كاستطالاته,طول
انتزعناهن,نزع
توحدهم,وحد
بارعوني,برع
فدباغاكن,دبغ
ولكاسبهن,كسب
للبكتنهم,لبك
فسيناسخنكن,نسخ
فيبلوراك,بلور
فكالمفعمين,فعم
فتلحسانك,لحس
وليهدده,هد
وبالمناظر,نظر
وبنسابتيه,نسب
وستفزعانكن,فزع
فكحلائلكما,حل
وسيملئون,ملأ
فكطليعتيكما,طلع
ولتعقمنا,عقم
فلمستحب,حب
فتقرئين,قرأ
فمعكناهن,معك
فلنشحت,شحت
فبأرقشيهم,رقش
بأعمدتهن,عمد
وليبتروك,بتر
فكطارقيهن,طرق
بنغمك,نغم
فلمأساتهم,اسو
لأكملتم,كمل
فعربوها,عرب
ككمبيوتراتهن,
فاسترقتك,سرق
