WORD,ROOT
كتسالي,سلو
لجهارهم,جهر
ليصطنعنك,صنع
لتسلحنهما,سلح
ولطيره,طير
فلأتعابهن,تعب
فالخزازين,خزن
كمخضرتهم,خضر
وتتماتها,تم
فتتوخينه,وخى
ويكاثرونها,كثر
واقتعد,قعد
تساورانك,سور
فكمغتم,غم
وللكونغو,
وتبتغيانكما,بغى
فكمتأهلي,اهل
فبتأثيريها,اثر
وبإرعابهم,رعب
وبطبيخي,طبخ
فمالحتاكم,ملح
فأرحاما,رحم
فلتجابريهن,جبر
أياما,يوم
وسرايهم,
ولمنجليتيكن,نجل
فتوأمتنا,
ريمتكما,ريم
وبالتهكمي,هكم
سيبارح,برح
وتطارديهم,طرد
ولحمضيهن,حمض
فتقديريتي,قدر
فكسبختيها,سبخ
فتزبدونهم,زبد
فبالطاؤوس,طوس
بمحرضهما,حرض
والقمريان,قمر
السعوديات,سعد
فمحمريه,حمر
فدفرتهما,دفر
رشدتاكما,رشد
لمتشابهات,شبه
أعلماكما,علم
وتوجباكما,وجب
وبمعاملنا,عمل
فضلعتاهم,ضلع
وتتنوعون,نوع
للمعدومين,عدم
كجعجعتكما,جعجع
أسيرتيهن,اسر
فتأدبيكما,ادب
كناجعيكما,نجع
بمعتنييهم,عنى
تلزماهن,لزم
فلمحطمينا,حطم
ولدوقيكم,
فكتكريسهم,كرس
فسأقنطهما,قنط
وبمسرجة,سرج
فلمساهميهن,سهم
فلكسورهم,كسر
ولمتخيلتيها,خيل
ويدرسها,درس
لأحرفكما,حرف
ونسحقكم,سحق
ومقببا,قب
فاشربنا,شرب
وكمقاطعي,قطع
وعاكفتكن,عكف
فكمبشرنا,بشر
وبمضاربيهم,ضرب
وكسليبها,سلب
ولتدمثها,دمث
فلتتفحصيه,فحص
ولتخربشكم,خربش
فأقراصك,قرص
فكاستنفارهم,نفر
وسنزعلهن,زعل
فأباءوكن,بوء
ولسامرها,سمر
مشاكسوك,شكس
فبالصعلوك,صعلك
فلتتجلل,جل
وخولناكما,خول
فعساليجهما,عسلج
فمساعدات,سعد
فيركل,ركل
وتغدقينهن,غدق
ومازحناهما,مزح
يجشمانكم,جشم
صفرتماهما,صفر
فتلفظون,لفظ
متحيرتانا,حير
فمجففيك,جف
لعجينيها,عجن
وكالكنية,كنو
فكشكليتيهم,شكل
فكهوان,هون
يفرقني,فرق
تحوياك,حوى
ومستعبديها,عبد
فيجوفون,جوف
كفترها,فتر
فيمزمزنا,مزمز
فسيهزكما,هز
وكنفثكن,نفث
وكالانهيارين,هور
لفأسهما,فأس
ومجازيتاه,جوز
يضفونهم,ضفو
وللملطف,لطف
سيجلطونهم,جلط
خبرتاك,خبر
فصيرورتكم,صير
ليجرننا,جور
فبنفسجكم,
