WORD,ROOT
نفطكن,
تذرعنا,ذرع
تقرتينا,قرت
لأرسخاه,رسخ
فالجيشين,جيش
فستجرمونهم,جرم
واحقرينا,حقر
يأخذونهم,اخذ
كجرايتينا,جرى
ناقله,نقل
أقنني,اوق
فكناقهنا,نقه
ولتعضدكم,عضد
فأيضتاها,ايض
كغربيتي,غرب
لاشعورية,شعر
دفقاتكما,دفق
فلمعضلتها,عضل
بموقعيه,وقع
فتتعمدينهم,عمد
وستتمناكن,منو
بتعرجكما,عرج
فيرشقوك,رشق
وكشريانييكما,شرى
لأساورتكم,
لديناريكما,
وبشائبكم,شيب
ولتأسيل,اسل
فلتخاتلاهن,ختل
فلنتسمعه,سمع
ستفحموننا,فحم
ولينجحنهم,نجح
انسرقتن,سرق
وتوفريهن,وفر
وبتعبكن,تعب
فكوحدتيك,وحد
لاتحدوا,وحد
فكعفريتين,عفرت
تسوراهما,سور
لطويناكن,طوى
أرهقتنا,رهق
هامشاهما,همش
ولنحاتتينا,نحت
وباستفساراتكما,فسر
ومقرحينا,قرح
وملاحظنا,لحظ
وأذقنكم,ذوق
بمساندتكن,سند
تفلسفنا,فلسف
فلفاتنيها,فتن
تحتقراه,حقر
أذوياهما,ذوى
فقرطتكما,قرط
أعزتكم,عز
وينقصوهن,نقص
تمثلاكم,مثل
فلمخابئكم,خبأ
ومغاسلك,غسل
لتجمعاني,جمع
فكتذليلكما,ذل
وستخلعانهما,خلع
فكاهتزازيتكم,هز
لنتساوق,سوق
سيزودنكن,زود
وضريبتاهما,ضرب
الأفران,فرن
فكحكمييكن,حكم
لضاربوهن,ضرب
وحدرهما,حدر
لجللكم,جل
دباباتكما,دب
فكالمبهورين,بهر
فيضعونا,وضع
أخفيتماهما,خفى
لأيضي,ايض
فمجبرا,جبر
وكتصعيدات,صعد
فاستسمحتماهن,سمح
فلينتزعونا,نزع
التربصات,ربص
وكمصيدته,صيد
فخطافكن,خطف
فكتحايله,حيل
رضيتك,رضى
فسيعتمدني,عمد
لبداءتها,بدء
ودكنهما,دكن
فسخفنا,سخف
وقلدتنني,قلد
بمستلمها,سلم
فسينفلقون,فلق
لأحاكه,حكى
تجمراها,جمر
فلخربهما,خرب
بتراتيلي,رتل
والخميسة,خمس
وسترخانهما,رخ
فكشيليتك,
بلئيم,لأم
ليسندن,سند
ناشفنا,نشف
تناقصنا,نقص
ولتهديفيك,هدف
واعتباطيتيه,عبط
كبدالاتنا,بدل
فلعدوانية,عدو
بقدسيته,قدس
أستحدثكم,حدث
فيتفكران,فكر
فبمسايلهن,سيل
كالغريقة,غرق
لتتهالكا,هلك
فنثيري,نثر
ولتمحياني,محو
بصدمتيه,صدم
فليزفوهم,زف
وديوثهما,
ولمضلتيه,ضل
فالتقتاكم,لقى
ولفتحتكما,فتح
فكعيشته,عيش
هوسناهما,هوس
تخوفوننا,خوف
ولينقصف,قصف
لولدكن,ولد
سيراعوننا,رعى
عصورا,عصر
كالمجاهرة,جهر
وكخريدتنا,خرد
لناموسيتنا,نمس
فكالكذوبة,كذب
فلتدثراهما,دثر
سيكفئننا,كفأ
فتمويليتيك,مول
كمروجاتنا,روج
فكبزاتهم,
أتضاد,ضد
ولنتاجنا,نتج
فبخبثهن,خبث
لجبر,جبر
فكعاتمتهن,عتم
وتقبرنهن,قبر
فكجذعاننا,جذع
فكعميلتي,عمل
وسيضعضعنهن,ضعضع
فبمكثه,مكث
فببردياتكم,برد
فبنجمهم,نجم
فتأكلين,اكل
فحكماءك,حكم
مقلماها,قلم
أتاح,تيح
بعكازكن,عكز
فلتتلقفيه,لقف
فبكرتانا,بكر
تفرشانهما,فرش
لتماريناكما,مرى
وبمرحوميهما,رحم
والهازئان,هزأ
وبروتيني,
يرمحاه,رمح
رفعتماهم,رفع
فتنبثقن,بثق
ولمستمدتيه,مد
فكدحرجتهما,دحرج
الغربيون,غرب
فتعريفتكم,عرف
كمتحررهما,حر
فسيثلمانه,ثلم
فلانفكاككن,فك
بخطبتكن,خطب
فيفقهك,فقه
تسويته,سوى
بإبدائكن,بدو
توافيا,وفى
المجودتين,جود
يسحلا,سحل
سيجزز,جز
